lote_lote,lote_proprietario,lote_al,lote_ano,lote_alienacaoAutorizada,lote_quantidadeFoto,lote_localArmazenamento,lote_isaSipa,lote_dataSipa,lote_tipoVenda,lote_isaEnvioArm,lote_dataEnvoArm,lote_gerencia_id,lote_leilao_id,lote_responsavel_id,lote_vmaLote
212390140,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,227.123214887
212390141,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,8503.9168149
212390142,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,29.31206799
212390143,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,6.199404297
212390145,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,517.557536
212390146,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,130.2765265
212390147,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,11,,86375.27646
212390148,Petrobras,33,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,488.5514381
212390149,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1252.051981321
212390150,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1.18062773
212390152,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1997.28696864
212390153,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2208.164873
212390154,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,984.361108
212390155,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,89.94544334
212390156,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,640.7553158
212390157,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,10259.3621067
212390158,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,117.2550716
212390159,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,669.1974546
212390160,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,411.763084
212390161,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1910.71071096
212390162,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,23.26323324
212390163,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,0.610662428
212390164,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,747.6364345
212390165,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,23.074834214
212390166,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,60.41890034
212390167,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,226.8352876
212390168,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,161.4901998
212390169,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2729.5286595
212390170,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,74.90878034
212390171,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1.055339286
212390172,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,27.142026408
212390173,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,121.3852241
212390174,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,688.871201422
212390175,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,92.89741763
212390176,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,246.2777364
212390177,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,5,7954.43617
212390180,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2490.440844
212390181,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,25.35557411
212390182,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,962.1327456
212390183,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1917.266642
212390184,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,311.2851473
212390185,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1429.532211517
212390186,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,1282.28726176
212390187,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,447.7982031
212390188,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,11.19106568
212390189,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2103.098978
212390190,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,506.9081995
212390191,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,2602.222659
212390192,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,228.5375737
212390193,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,11,,4670.080159131
212390194,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,351.9550143
212390195,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,769.6379762
212390196,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,340.8424564
212390197,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,9,4577.0313776
212390198,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,102.1659482
212390199,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,902.8386734
212390200,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Vendido,,,3,11,9,5928.951836
212390201,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,4142.133128
212390202,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,4662.10512
212390203,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,9308.058459
212390204,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,17091.515375
212390205,Petrobras,3,2021,Autorizada,0,MACAE - RJ,PBR-2021-0041263,2021-07-09,Sucateamento,,,3,,,3026.904044
